,,"Ambient air pollution attributable deaths","Ambient air pollution attributable deaths","Ambient air pollution attributable deaths","Ambient air pollution attributable death rate (per 100 000 population)","Ambient air pollution attributable death rate (per 100 000 population)","Ambient air pollution attributable death rate (per 100 000 population)","Ambient air pollution attributable death rate (per 100 000 population, age-standardized)","Ambient air pollution attributable death rate (per 100 000 population, age-standardized)","Ambient air pollution attributable death rate (per 100 000 population, age-standardized)"
,,"2016","2016","2016","2016","2016","2016","2016","2016","2016"
"Country","Cause","Both sexes","Male","Female","Both sexes","Male","Female","Both sexes","Male","Female"
"Afghanistan","Total","17143 [15433–19031]","9105 [8194–10060]","8038 [7220–8927]","49 [45–55]","51 [46–56]","48 [43–53]","112 [100–124]","124 [112–137]","100 [89–111]"
"Afghanistan","Lower respiratory infections","5639 [4369–6931]","2748 [2129–3377]","2892 [2240–3554]","16 [13–20]","15 [12–19]","17 [13–21]","17 [13–20]","18 [14–22]","16 [12–19]"
"Afghanistan","Trachea, bronchus, lung cancers","245 [160–333]","182 [119–247]","64 [42–86]","1 [0–1]","1 [1–1]","0 [0–1]","2 [1–2]","3 [2–4]","1 [1–1]"
"Afghanistan","Ischaemic heart disease","7271 [6229–8333]","4211 [3604–4826]","3061 [2599–3528]","21 [18–24]","24 [20–27]","18 [15–21]","58 [50–67]","67 [58–77]","50 [42–57]"
"Afghanistan","Stroke","2744 [2330–3186]","1305 [1104–1521]","1439 [1226–1668]","8 [7–9]","7 [6–9]","9 [7–10]","23 [19–26]","23 [19–27]","23 [20–27]"
"Afghanistan","Chronic obstructive pulmonary disease","1244 [751–1776]","660 [399–943]","583 [352–833]","4 [2–5]","4 [2–5]","3 [2–5]","12 [7–17]","14 [8–20]","10 [6–15]"
"Albania","Total","1855 [1490–2326]","1075 [878–1309]","780 [606–1023]","63 [51–79]","73 [59–89]","54 [42–71]","41 [33–52]","51 [42–62]","32 [25–42]"
"Albania","Lower respiratory infections","71 [36–113]","41 [21–64]","30 [15–48]","2 [1–4]","3 [1–4]","2 [1–3]","2 [1–3]","2 [1–3]","2 [1–2]"
"Albania","Trachea, bronchus, lung cancers","123 [65–193]","81 [43–128]","41 [22–65]","4 [2–7]","6 [3–9]","3 [2–5]","3 [1–4]","4 [2–6]","2 [1–3]"
"Albania","Ischaemic heart disease","994 [733–1262]","592 [449–731]","402 [282–527]","34 [25–43]","40 [30–49]","28 [19–36]","22 [16–28]","28 [22–35]","16 [12–22]"
"Albania","Stroke","560 [348–943]","290 [187–472]","270 [160–476]","19 [12–32]","20 [13–32]","19 [11–33]","12 [8–21]","14 [9–22]","11 [6–19]"
"Albania","Chronic obstructive pulmonary disease","107 [51–176]","71 [34–117]","36 [17–59]","4 [2–6]","5 [2–8]","2 [1–4]","2 [1–4]","3 [2–5]","1 [1–2]"
"Algeria","Total","14192 [12354–16136]","7711 [6710–8717]","6481 [5615–7448]","35 [30–40]","38 [33–43]","32 [28–37]","43 [38–49]","48 [42–55]","38 [33–44]"
"Algeria","Lower respiratory infections","2396 [1750–3071]","1170 [854–1499]","1226 [896–1572]","6 [4–8]","6 [4–7]","6 [4–8]","6 [5–8]","7 [5–8]","6 [5–8]"
"Algeria","Trachea, bronchus, lung cancers","537 [329–766]","433 [266–618]","104 [64–148]","1 [1–2]","2 [1–3]","1 [0–1]","2 [1–2]","3 [2–4]","1 [0–1]"
"Algeria","Ischaemic heart disease","7904 [6306–9503]","4302 [3470–5108]","3601 [2826–4418]","19 [16–23]","21 [17–25]","18 [14–22]","25 [20–30]","27 [22–33]","22 [17–27]"
"Algeria","Stroke","2327 [1750–3097]","1173 [889–1547]","1154 [862–1553]","6 [4–8]","6 [4–8]","6 [4–8]","7 [5–10]","8 [6–10]","7 [5–9]"
"Algeria","Chronic obstructive pulmonary disease","1028 [587–1523]","633 [361–937]","395 [226–585]","3 [1–4]","3 [2–5]","2 [1–3]","3 [2–5]","4 [2–6]","2 [1–4]"
"Angola","Total","8706 [6699–10750]","4213 [3231–5224]","4494 [3464–5544]","30 [23–37]","30 [23–37]","31 [24–38]","56 [43–69]","59 [45–73]","54 [41–66]"
"Angola","Lower respiratory infections","5514 [3604–7531]","2704 [1767–3692]","2811 [1837–3838]","19 [13–26]","19 [13–26]","19 [13–26]","21 [14–29]","23 [15–32]","19 [13–27]"
"Angola","Trachea, bronchus, lung cancers","30 [17–44]","18 [11–27]","12 [7–17]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–0]","0 [0–1]","0 [0–0]"
"Angola","Ischaemic heart disease","1620 [1327–1906]","813 [676–946]","808 [646–964]","6 [5–7]","6 [5–7]","5 [4–7]","18 [14–21]","18 [15–21]","17 [13–20]"
"Angola","Stroke","1053 [844–1296]","456 [370–550]","596 [473–743]","4 [3–4]","3 [3–4]","4 [3–5]","11 [9–14]","11 [9–13]","12 [9–15]"
"Angola","Chronic obstructive pulmonary disease","489 [269–755]","222 [122–342]","267 [147–413]","2 [1–3]","2 [1–2]","2 [1–3]","6 [3–9]","6 [3–9]","6 [3–9]"
"Antigua and Barbuda","Total","27 [23–33]","14 [12–17]","13 [11–16]","27 [23–32]","30 [25–35]","25 [20–30]","29 [24–34]","36 [30–42]","23 [19–28]"
"Antigua and Barbuda","Lower respiratory infections","5 [3–9]","3 [1–5]","2 [1–4]","5 [3–8]","6 [3–10]","5 [2–7]","6 [3–9]","7 [4–12]","4 [2–6]"
"Antigua and Barbuda","Trachea, bronchus, lung cancers","0 [0–1]","0 [0–0]","0 [0–0]","0 [0–1]","1 [0–1]","0 [0–1]","0 [0–1]","1 [0–1]","0 [0–1]"
"Antigua and Barbuda","Ischaemic heart disease","13 [10–16]","7 [6–9]","6 [4–7]","13 [10–16]","15 [12–18]","11 [8–14]","14 [10–17]","18 [14–22]","11 [8–13]"
"Antigua and Barbuda","Stroke","6 [4–9]","3 [2–4]","3 [2–5]","6 [4–9]","5 [4–8]","7 [5–10]","6 [4–9]","6 [5–9]","6 [4–9]"
"Antigua and Barbuda","Chronic obstructive pulmonary disease","2 [1–4]","1 [1–2]","1 [0–2]","2 [1–4]","3 [1–4]","2 [1–3]","2 [1–4]","3 [2–6]","2 [1–3]"
"Argentina","Total","14820 [11286–19224]","7694 [6031–9756]","7126 [5285–9371]","34 [26–44]","36 [28–45]","32 [24–42]","24 [19–32]","33 [26–42]","18 [13–24]"
"Argentina","Lower respiratory infections","3891 [1450–7168]","1812 [675–3337]","2080 [775–3831]","9 [3–16]","8 [3–16]","9 [3–17]","6 [2–11]","8 [3–14]","5 [2–9]"
"Argentina","Trachea, bronchus, lung cancers","763 [371–1274]","516 [251–861]","247 [120–412]","2 [1–3]","2 [1–4]","1 [1–2]","1 [1–2]","2 [1–4]","1 [0–1]"
"Argentina","Ischaemic heart disease","5538 [3891–7210]","3005 [2257–3696]","2533 [1630–3522]","13 [9–16]","14 [11–17]","11 [7–16]","9 [7–12]","13 [10–16]","6 [4–9]"
"Argentina","Stroke","1885 [1219–3220]","951 [658–1470]","935 [547–1751]","4 [3–7]","4 [3–7]","4 [2–8]","3 [2–6]","4 [3–6]","3 [2–5]"
"Argentina","Chronic obstructive pulmonary disease","2741 [1088–4843]","1410 [560–2491]","1331 [529–2352]","6 [2–11]","7 [3–12]","6 [2–11]","4 [2–8]","6 [2–11]","3 [1–6]"
"Armenia","Total","2192 [1780–2607]","1206 [1025–1403]","986 [760–1226]","75 [61–89]","88 [75–102]","64 [49–79]","51 [42–61]","72 [62–84]","35 [27–44]"
"Armenia","Lower respiratory infections","79 [54–105]","42 [29–56]","37 [25–49]","3 [2–4]","3 [2–4]","2 [2–3]","2 [1–3]","3 [2–4]","2 [1–2]"
